TypeNS,TypeName,Definition,ContentStyle,SimpleQualifiedType,ParentQualifiedType,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,QualifiedType
cbrncl,FacilityUsageCodeSimpleType,A data type to describe the uses of real property facilities.,S,cbrncl:FacilityUsageCodeType,,FALSE,FALSE,FALSE,,,,cbrncl:FacilityUsageCodeSimpleType
occs,FacilityUsageCodeSimpleType,A data type for the categories of facilities.,S,occs:FacilityUsageCodeType,,FALSE,FALSE,FALSE,,,,occs:FacilityUsageCodeSimpleType
cbrncl,FacilityUsageCodeType,A data type for a description of the functional usage of a facility.,CSC,,,FALSE,FALSE,FALSE,,,,cbrncl:FacilityUsageCodeType
occs,FacilityUsageCodeType,A data type for the categories of facilities.,CSC,,,FALSE,FALSE,FALSE,,,,occs:FacilityUsageCodeType
occs,FacilityUsageLevel1CodeSimpleType,A data type for Level 1 facility usage codes.,S,occs:FacilityUsageLevel1CodeType,,FALSE,FALSE,FALSE,,,,occs:FacilityUsageLevel1CodeSimpleType
occs,FacilityUsageLevel1CodeType,A data type for Level 1 facility usage codes.,CSC,,,FALSE,FALSE,FALSE,,,,occs:FacilityUsageLevel1CodeType
occs,FacilityUsageLevel2CodeSimpleType,A data type for Level 2 facility usage codes.,S,occs:FacilityUsageLevel2CodeType,,FALSE,FALSE,FALSE,,,,occs:FacilityUsageLevel2CodeSimpleType
occs,FacilityUsageLevel2CodeType,A data type for Level 2 facility usage codes.,CSC,,,FALSE,FALSE,FALSE,,,,occs:FacilityUsageLevel2CodeType
cbrncl,FaultSeverityCodeSimpleType,A data type that defines the code values for the various categories of fault severity.,S,cbrncl:FaultSeverityCodeType,,FALSE,FALSE,FALSE,,,,cbrncl:FaultSeverityCodeSimpleType
cbrncl,FaultSeverityCodeType,A data type for the categories of fault severity.,CSC,,,FALSE,FALSE,FALSE,,,,cbrncl:FaultSeverityCodeType
cbrn,FaultType,"A data type for describing an error that occurred in an instrument, a specific detector, or during the analysis of data.",CCC,,cbrn:RemarksComplexObjectType,FALSE,FALSE,FALSE,,,,cbrn:FaultType
biom,FeaturePointCategoryCodeSimpleType,A data type for a kind of feature point of a captured facial image,S,biom:FeaturePointCategoryCodeType,,FALSE,FALSE,FALSE,,,,biom:FeaturePointCategoryCodeSimpleType
biom,FeaturePointCategoryCodeType,A data type for a kind of feature point of a captured facial image,CSC,,,FALSE,FALSE,FALSE,,,,biom:FeaturePointCategoryCodeType
geo,FeatureType,A data type that encapsulates a GML feature instance.,CCC,,,FALSE,TRUE,FALSE,,,,geo:FeatureType
ncic,FILECodeSimpleType,A data type for FILE fields.,S,ncic:FILECodeType,,FALSE,FALSE,FALSE,,,,ncic:FILECodeSimpleType
ncic,FILECodeType,A data type for FILE fields.,CSC,,,FALSE,FALSE,FALSE,,,,ncic:FILECodeType
im,FileType,"A data type for an official record or set of records associated with a person, project, task, or activity.",CCC,,nc:DocumentType,FALSE,FALSE,FALSE,,,,im:FileType
j,FinancialAccountInstitutionAssociationType,A data type for a relationship between a financial account and the institution that manages it.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:FinancialAccountInstitutionAssociationType
j,FinancialAccountType,A data type for a financial account maintained by a financial institution.,CCC,,,FALSE,FALSE,FALSE,,,,j:FinancialAccountType
j,FinancialCompilationType,A data type for a set of financial details for a person.,CCC,,,FALSE,FALSE,FALSE,,,,j:FinancialCompilationType
cyfs,FindingType,A data type for the details of the authoritative decision of the court.,CCC,,nc:ActivityType,FALSE,FALSE,FALSE,,,,cyfs:FindingType
biom,FingerPositionCodeSimpleType,A data type for a finger position,S,biom:FingerPositionCodeType,,FALSE,FALSE,FALSE,,,,biom:FingerPositionCodeSimpleType
biom,FingerPositionCodeType,A data type for a finger position,CSC,,,FALSE,FALSE,FALSE,,,,biom:FingerPositionCodeType
j,FingerprintActivityType,A data type for a non-criminal fingerprint event segment.,CCC,,nc:ActivityType,FALSE,FALSE,FALSE,,,,j:FingerprintActivityType
biom,FingerprintAnnotationDetailType,A data type for representation of the annotation characteristics for a set of a screening person fingerprints.,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintAnnotationDetailType
biom,FingerprintCaptureTechniqueCategoryCodeSimpleType,A data type for a kind of fingerprint capture technique type.,S,biom:FingerprintCaptureTechniqueCategoryCodeType,,FALSE,FALSE,FALSE,,,,biom:FingerprintCaptureTechniqueCategoryCodeSimpleType
scr,FingerprintCaptureTechniqueCategoryCodeSimpleType,A data type for a kind of fingerprint capture technique type.,S,scr:FingerprintCaptureTechniqueCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:FingerprintCaptureTechniqueCategoryCodeSimpleType
biom,FingerprintCaptureTechniqueCategoryCodeType,A data type for a kind of fingerprint capture technique type.,CSC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintCaptureTechniqueCategoryCodeType
scr,FingerprintCaptureTechniqueCategoryCodeType,A data type for a kind of fingerprint capture technique type.,CSC,,,FALSE,FALSE,FALSE,,,,scr:FingerprintCaptureTechniqueCategoryCodeType
biom,FingerprintCaptureTechniqueType,A data type for kind of fingerprint capture technique type.,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintCaptureTechniqueType
scr,FingerprintCategoryCodeSimpleType,A data type for a kind of fingerprint type.,S,scr:FingerprintCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:FingerprintCategoryCodeSimpleType
scr,FingerprintCategoryCodeType,A data type for a kind of fingerprint type.,CSC,,,FALSE,FALSE,FALSE,,,,scr:FingerprintCategoryCodeType
biom,FingerprintCoordinateType,A data type for coordinates of the bounding box for an individual finger.,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintCoordinateType
biom,FingerprintDeltaLocationType,A data type for a location of a delta in a fingerprint image,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintDeltaLocationType
biom,FingerprintFeatureLocationType,A data type for a location of a minutia or finger pattern characteristic in a fingerprint image,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintFeatureLocationType
biom,FingerprintFeaturesFeedbackType,A data type for supplemental proprietary values describing minutiae and related information encoded from a fingerprint image.,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintFeaturesFeedbackType
biom,FingerprintImageFingerMissingType,A data type for a missing finger in a fingerprint image,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintImageFingerMissingType
biom,FingerprintImageMajorCasePrintType,A data type for a major case fingerprint image,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintImageMajorCasePrintType
biom,FingerprintImageMissingAreaReasonCodeSimpleType,A data type for a reason a fingerprint is missing,S,biom:FingerprintImageMissingAreaReasonCodeType,,FALSE,FALSE,FALSE,,,,biom:FingerprintImageMissingAreaReasonCodeSimpleType
biom,FingerprintImageMissingAreaReasonCodeType,A data type for a reason a fingerprint is missing,CSC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintImageMissingAreaReasonCodeType
biom,FingerprintImageSegmentPositionSquareType,A data type for a square segment position for a particular fingerprint,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintImageSegmentPositionSquareType
biom,FingerprintImageType,A data type for a fingerprint image,CCC,,biom:ImageType,FALSE,FALSE,FALSE,,,,biom:FingerprintImageType
scr,FingerprintImpressionCategoryCodeSimpleType,A data type for a kind of fingerprint impression.,S,,,FALSE,FALSE,FALSE,,,,scr:FingerprintImpressionCategoryCodeSimpleType
scr,FingerprintPatternCategoryCodeSimpleType,A data type for a classification of fingerprint patterns into distinct groups based on general similarities.,S,,,FALSE,FALSE,FALSE,,,,scr:FingerprintPatternCategoryCodeSimpleType
biom,FingerprintPatternGeneralClassCodeSimpleType,A data type for a class of fingerprint pattern used by most automated fingerprint information systems,S,,,FALSE,FALSE,FALSE,,,,biom:FingerprintPatternGeneralClassCodeSimpleType
biom,FingerprintPatternSubClassCodeSimpleType,A data type for a detailed subclassification of fingerprint patterns arches and whorls,S,,,FALSE,FALSE,FALSE,,,,biom:FingerprintPatternSubClassCodeSimpleType
biom,FingerprintPatternWhorlDeltaRelationshipCodeSimpleType,A data type for a relationship between a whorl and a delta in a fingerprint pattern,S,,,FALSE,FALSE,FALSE,,,,biom:FingerprintPatternWhorlDeltaRelationshipCodeSimpleType
biom,FingerprintPositionListType,A data type for a list of finger positions,CCC,,,FALSE,FALSE,FALSE,,,,biom:FingerprintPositionListType
biom,FingerViewCodeSimpleType,A data type for a kind of finger view,S,biom:FingerViewCodeType,,FALSE,FALSE,FALSE,,,,biom:FingerViewCodeSimpleType
biom,FingerViewCodeType,A data type for a kind of finger view,CSC,,,FALSE,FALSE,FALSE,,,,biom:FingerViewCodeType
j,FirearmType,"A data type for a weapon that will, or is designed to, or may readily be converted to expel a projectile by air, carbon dioxide, or the action of an explosive.",CCC,,nc:ItemType,FALSE,FALSE,FALSE,,,,j:FirearmType
scr,FlightPlanSummaryType,A data type for representing information related to a specific flight plan,CCC,,nc:DocumentType,FALSE,FALSE,FALSE,,,,scr:FlightPlanSummaryType
niem-xs,float,"A data type that is patterned after the IEEE single-precision 32-bit floating point type [IEEE 754-1985]. The basic value space of float consists of the values m x 2^e, where m is an integer whose absolute value is less than 2^24, and e is an integer between -149 and 104, inclusive. In addition to the basic value space described above, the value space of float also contains the following three special values: positive and negative infinity and not-a-number (NaN).",CSC,,,FALSE,FALSE,FALSE,,,,niem-xs:float
xs,float,"A data type that is patterned after the IEEE single-precision 32-bit floating point type [IEEE 754-1985]. The basic value space of float consists of the values m x 2^e, where m is an integer whose absolute value is less than 2^24, and e is an integer between -149 and 104, inclusive. In addition to the basic value space described above, the value space of float also contains the following three special values: positive and negative infinity and not-a-number (NaN).",S,niem-xs:float,,FALSE,FALSE,FALSE,,,,xs:float
ucr,ForceCategoryCodeSimpleType,A data type for kinds of weapons or forces used by a subject in committing an offense.,S,ucr:ForceCategoryCodeType,,FALSE,FALSE,FALSE,,,,ucr:ForceCategoryCodeSimpleType
ucr,ForceCategoryCodeType,A data type for kinds of weapons or forces used by a subject in committing an offense.,CSC,,,FALSE,FALSE,FALSE,,,,ucr:ForceCategoryCodeType
j,ForceType,"A data type for details of a force used, whether physical or aided by a tool or weapon.",CCC,,nc:ActivityType,FALSE,FALSE,FALSE,,,,j:ForceType
im,ForeignBornChildOfCitizenRoleType,A data type for the role of Foreign Born Child of Citizen that is played by a Person with respect to a Country.,CCC,,im:CitizenRoleType,FALSE,FALSE,FALSE,,,,im:ForeignBornChildOfCitizenRoleType
ndex,ForensicSpecimenCodeSimpleType,A data type for a code that identifies a type of forensic specimen collected.,S,ndex:ForensicSpecimenCodeType,,FALSE,FALSE,FALSE,,,,ndex:ForensicSpecimenCodeSimpleType
ndex,ForensicSpecimenCodeType,A data type for a code that identifies a type of forensic specimen collected.,CSC,,,FALSE,FALSE,FALSE,,,,ndex:ForensicSpecimenCodeType
j,ForensicSpecimenType,"A data type for a specimen collected for the purpose of analysis which may be of use as evidence in criminal, civil, judicial, or administrative proceedings.",CCC,,nc:SubstanceType,FALSE,FALSE,FALSE,,,,j:ForensicSpecimenType
cyfs,FosterCareFundingSourceCodeSimpleType,A data type for decribing a source for foster care funding.,S,cyfs:FosterCareFundingSourceCodeType,,FALSE,FALSE,FALSE,,,,cyfs:FosterCareFundingSourceCodeSimpleType
cyfs,FosterCareFundingSourceCodeType,A data type for decribing a source for foster care funding.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:FosterCareFundingSourceCodeType
cyfs,FosterCareRemovalReasonCodeSimpleType,A data type for reasons a child was removed from a foster care placement.,S,cyfs:FosterCareRemovalReasonCodeType,,FALSE,FALSE,FALSE,,,,cyfs:FosterCareRemovalReasonCodeSimpleType
cyfs,FosterCareRemovalReasonCodeType,A data type for reasons a child was removed from a foster care placement.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:FosterCareRemovalReasonCodeType
cyfs,FosterParentChildAssociationType,A data type for an association between a child and a foster parent.,CCC,,cyfs:ParentChildAssociationType,FALSE,FALSE,FALSE,,,,cyfs:FosterParentChildAssociationType
biom,FrictionRidgeImageMissingAreaReasonCodeSimpleType,A data type for a reason a fingerprint ridge is missing,S,biom:FrictionRidgeImageMissingAreaReasonCodeType,,FALSE,FALSE,FALSE,,,,biom:FrictionRidgeImageMissingAreaReasonCodeSimpleType
biom,FrictionRidgeImageMissingAreaReasonCodeType,A data type for a reason a fingerprint ridge is missing,CSC,,,FALSE,FALSE,FALSE,,,,biom:FrictionRidgeImageMissingAreaReasonCodeType
nc,FullTelephoneNumberType,A data type for a full telephone number.,CCC,,,FALSE,FALSE,FALSE,,,,nc:FullTelephoneNumberType
cbrn,FWHMCalibrationType,A data type for a FWHM calibration.,CCC,,cbrn:RemarksComplexObjectType,FALSE,FALSE,FALSE,,,,cbrn:FWHMCalibrationType
cbrn,FWHMKeVType,A data type for a FWHM measure whose values are positive and measured in keV.,CSC,,,FALSE,FALSE,FALSE,,,,cbrn:FWHMKeVType
cbrn,FWHMUncertaintiesKeVType,A data type for FWHM uncertaintymeasure whose values are nonnegative and measured in keV.,CSC,,cbrn:NonNegativeDoubleListType,FALSE,FALSE,FALSE,,,,cbrn:FWHMUncertaintiesKeVType
it,GoodsOriginType,A data type to identify the place of origin for the goods manufactured or produced.,CCC,,nc:LocationType,FALSE,FALSE,FALSE,,,,it:GoodsOriginType
it,GoodsShipmentType,A data type for a shipment of goods,CCC,,nc:ActivityType,FALSE,FALSE,FALSE,,,,it:GoodsShipmentType
ndex,GrainCategoryCodeSimpleType,A data type for a code that identifies a type of grain.,S,ndex:GrainCategoryCodeType,,FALSE,FALSE,FALSE,,,,ndex:GrainCategoryCodeSimpleType
ndex,GrainCategoryCodeType,A data type for a code that identifies a type of grain.,CSC,,,FALSE,FALSE,FALSE,,,,ndex:GrainCategoryCodeType
cbrn,GrossCountAnalysisResultsType,A data type to provide information on the results of analysis of radiation gross count data.,CCC,,cbrn:RemarksComplexObjectType,FALSE,FALSE,FALSE,,,,cbrn:GrossCountAnalysisResultsType
cbrn,GrossCountsType,A data type providing gross count radiation data.,CCC,,cbrn:RemarksComplexObjectType,FALSE,FALSE,FALSE,,,,cbrn:GrossCountsType
niem-xs,gYear,A data type for a Gregorian calendar year with the format CCYY.,CSC,,,FALSE,FALSE,FALSE,,,,niem-xs:gYear
xs,gYear,A data type for a Gregorian calendar year with the format CCYY.,S,niem-xs:gYear,,FALSE,FALSE,FALSE,,,,xs:gYear
niem-xs,gYearMonth,A data type for a specific gregorian month in a specific gregorian year.,CSC,,,FALSE,FALSE,FALSE,,,,niem-xs:gYearMonth
xs,gYearMonth,A data type for a specific gregorian month in a specific gregorian year.,S,niem-xs:gYearMonth,,FALSE,FALSE,FALSE,,,,xs:gYearMonth
ncic,HAICodeSimpleType,A data type for Hair Color.,S,ncic:HAICodeType,,FALSE,FALSE,FALSE,,,,ncic:HAICodeSimpleType
ncic,HAICodeType,A data type for Hair Color.,CSC,,,FALSE,FALSE,FALSE,,,,ncic:HAICodeType
biom,HairColorCodeSimpleType,A data type for a hair color,S,biom:HairColorCodeType,,FALSE,FALSE,FALSE,,,,biom:HairColorCodeSimpleType
biom,HairColorCodeType,A data type for a hair color,CSC,,,FALSE,FALSE,FALSE,,,,biom:HairColorCodeType
edxl-have,HaveAdapterType,"A data type for EDXL-HAVE which specifies an XML document format that allows the communication of the status of a hospital, its services, and its resources.",CCC,,,FALSE,TRUE,FALSE,,,,edxl-have:HaveAdapterType
it,HazardousMaterialDataType,"A data type providing details of a hazardous material; i.e., a Substance Type that may cause harm.",CCC,,nc:SubstanceType,FALSE,FALSE,FALSE,,,,it:HazardousMaterialDataType
mmucc,HazMatCargoReleaseCodeSimpleType,A data type for an indication that a motor vehicle had a hazardous materials placard as required by federal/state regulations.,S,mmucc:HazMatCargoReleaseCodeType,,FALSE,FALSE,FALSE,,,Hazardous materials that were released from the cargo compartment should be documented whether or not the motor vehicle displayed a placard.,mmucc:HazMatCargoReleaseCodeSimpleType
mmucc,HazMatCargoReleaseCodeType,A data type for an indication that a motor vehicle had a hazardous materials placard as required by federal/state regulations.,CSC,,,FALSE,FALSE,FALSE,,,Hazardous materials that were released from the cargo compartment should be documented whether or not the motor vehicle displayed a placard.,mmucc:HazMatCargoReleaseCodeType
ansi_d20,HazMatCodeSimpleType,A data type for whether a driver was operating a vehicle carrying hazardous materials.,S,ansi_d20:HazMatCodeType,,FALSE,FALSE,FALSE,,,,ansi_d20:HazMatCodeSimpleType
ansi_d20,HazMatCodeType,A data type for whether a driver was operating a vehicle carrying hazardous materials.,CSC,,,FALSE,FALSE,FALSE,,,,ansi_d20:HazMatCodeType
m,HazmatDeclarationType,A data type for a declaration of hazardous materials within transported goods.,CCC,,,FALSE,FALSE,FALSE,,,,m:HazmatDeclarationType
mmucc,HazMatPlacardDisplayStatusCodeSimpleType,A data type for an indication that a motor vehicle had displayed a hazardous materials placard as required by federal/state regulations.,S,mmucc:HazMatPlacardDisplayStatusCodeType,,FALSE,FALSE,FALSE,,,,mmucc:HazMatPlacardDisplayStatusCodeSimpleType
mmucc,HazMatPlacardDisplayStatusCodeType,A data type for an indication that a motor vehicle had displayed a hazardous materials placard as required by federal/state regulations.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:HazMatPlacardDisplayStatusCodeType
j,HazMatPlacardSuffixTextSimpleType,A data type for a placard number from bottom of diamond.,S,j:HazMatPlacardSuffixTextType,,FALSE,FALSE,FALSE,,,1 digit.,j:HazMatPlacardSuffixTextSimpleType
j,HazMatPlacardSuffixTextType,A data type for a placard number from bottom of diamond.,CSC,,,FALSE,FALSE,FALSE,,,1 digit.,j:HazMatPlacardSuffixTextType
hazmat,HazmatUNCodeSimpleType,A data type for a United Nations/North American (UN/NA) Hazardous Materials Code pertaining to a hazardous material.,S,hazmat:HazmatUNCodeType,,FALSE,FALSE,FALSE,,,,hazmat:HazmatUNCodeSimpleType
hazmat,HazmatUNCodeType,A data type for a United Nations/North American (UN/NA) Hazardous Materials Code pertaining to a hazardous material.,CSC,,,FALSE,FALSE,FALSE,,,,hazmat:HazmatUNCodeType
cyfs,HealthDetailsType,"A data type for the details about a person's mental health, substance abuse, medical health and medications.",CCC,,,FALSE,FALSE,FALSE,,,,cyfs:HealthDetailsType
cyfs,HealthInsuranceType,A data type for health insurance information.,CCC,,nc:InsuranceType,FALSE,FALSE,FALSE,,,,cyfs:HealthInsuranceType
cyfs,HearingCategoryCodeSimpleType,A data type for the type of hearing that is going to take place.,S,cyfs:HearingCategoryCodeType,,FALSE,FALSE,FALSE,,,,cyfs:HearingCategoryCodeSimpleType
cyfs,HearingCategoryCodeType,A data type for the type of hearing that is going to take place.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:HearingCategoryCodeType
niem-xs,hexBinary,A data type for hex-encoded binary data.,CSC,,,FALSE,FALSE,FALSE,,,,niem-xs:hexBinary
xs,hexBinary,A data type for hex-encoded binary data.,S,niem-xs:hexBinary,,FALSE,FALSE,FALSE,,,,xs:hexBinary
nc,HighwayType,A data type for a major public road.,CCC,,,FALSE,FALSE,FALSE,,,,nc:HighwayType
cyfs,HistoricalNarrativeType,A data type for the history of a participant of a case.,CCC,,,FALSE,FALSE,FALSE,,,,cyfs:HistoricalNarrativeType
mmucc,HitAndRunCodeSimpleType,"A data type for cases where the vehicle, or the driver of the vehicle, in transport is a contact vehicle in the crash and departs the scene without stopping to render aid or report the crash.",S,mmucc:HitAndRunCodeType,,FALSE,FALSE,FALSE,,,,mmucc:HitAndRunCodeSimpleType
mmucc,HitAndRunCodeType,"A data type for cases where the vehicle, or the driver of the vehicle, in transport is a contact vehicle in the crash and departs the scene without stopping to render aid or report the crash.",CSC,,,FALSE,FALSE,FALSE,,,,mmucc:HitAndRunCodeType
em,HospitalBedCapacityStatusType,A data type for the hospital bed capacity and status.,CCC,,,FALSE,FALSE,FALSE,,,,em:HospitalBedCapacityStatusType
em,HospitalFacilityStatusType,A data type for the status of the facility,CCC,,,FALSE,FALSE,FALSE,,,,em:HospitalFacilityStatusType
em,HospitalResourcesStatusType,A data type for the operations of the facility,CCC,,,FALSE,FALSE,FALSE,,,,em:HospitalResourcesStatusType
em,HospitalStatusType,A data type for reporting status of any number of hospitals.,CCC,,,FALSE,FALSE,FALSE,,,,em:HospitalStatusType
em,HospitalType,A data type for reporting status of a hospital.,CCC,,nc:OrganizationType,FALSE,FALSE,FALSE,,,,em:HospitalType
ndex,HouseholdFurnishingsCategoryCodeSimpleType,A data type for a code that identifies a type of household furnishings.,S,ndex:HouseholdFurnishingsCategoryCodeType,,FALSE,FALSE,FALSE,,,,ndex:HouseholdFurnishingsCategoryCodeSimpleType
ndex,HouseholdFurnishingsCategoryCodeType,A data type for a code that identifies a type of household furnishings.,CSC,,,FALSE,FALSE,FALSE,,,,ndex:HouseholdFurnishingsCategoryCodeType
ndex,HousewaresCategoryCodeSimpleType,A data type for a code that identifies a type of household goods.,S,ndex:HousewaresCategoryCodeType,,FALSE,FALSE,FALSE,,,,ndex:HousewaresCategoryCodeSimpleType
ndex,HousewaresCategoryCodeType,A data type for a code that identifies a type of household goods.,CSC,,,FALSE,FALSE,FALSE,,,,ndex:HousewaresCategoryCodeType
ncic,HSPCodeSimpleType,A data type for Boat Hull Shape.,S,ncic:HSPCodeType,,FALSE,FALSE,FALSE,,,,ncic:HSPCodeSimpleType
ncic,HSPCodeType,A data type for Boat Hull Shape.,CSC,,,FALSE,FALSE,FALSE,,,,ncic:HSPCodeType
ncic,HULCodeSimpleType,A data type for Boat Hull Type.,S,ncic:HULCodeType,,FALSE,FALSE,FALSE,,,,ncic:HULCodeSimpleType
ncic,HULCodeType,A data type for Boat Hull Type.,CSC,,,FALSE,FALSE,FALSE,,,,ncic:HULCodeType
im,ICEEmployeeType,A data type for the classification of the person employed by the Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) agency.,CCC,,,FALSE,FALSE,FALSE,,,,im:ICEEmployeeType
im,ICEOfficerType,A data type for the classification of the authorized enforcement officer employed by the Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) agency.,CCC,,,FALSE,FALSE,FALSE,,,,im:ICEOfficerType
cbrncl,IDAcquisitionMethodCodeSimpleType,A data type that defines the codes for the methods by which the identifier of an object can be determined.,S,cbrncl:IDAcquisitionMethodCodeType,,FALSE,FALSE,FALSE,,,,cbrncl:IDAcquisitionMethodCodeSimpleType
cbrncl,IDAcquisitionMethodCodeType,A data type for the methods by which the identifier of an object can be determined.,CSC,,,FALSE,FALSE,FALSE,,,,cbrncl:IDAcquisitionMethodCodeType
intel,IdentificationAugmentationType,A data type for additional information about an identification.,CCC,,,FALSE,FALSE,TRUE,,,,intel:IdentificationAugmentationType
scr,IdentificationAugmentationType,A data type that supplements Identification and is used by Screening for augmenting the Identification Type,CCC,,,FALSE,FALSE,TRUE,,,,scr:IdentificationAugmentationType
j,IdentificationCategoryCodeSimpleType,A data type for a kind of identification.,S,j:IdentificationCategoryCodeType,,FALSE,FALSE,FALSE,,,,j:IdentificationCategoryCodeSimpleType
j,IdentificationCategoryCodeType,A data type for a kind of identification.,CSC,,,FALSE,FALSE,FALSE,,,,j:IdentificationCategoryCodeType
j,IdentificationRangeType,A data type for a range of identifications.,CCC,,,FALSE,FALSE,FALSE,,,,j:IdentificationRangeType
nc,IdentificationType,A data type for a representation of an identity.,CCC,,,FALSE,FALSE,FALSE,,,,nc:IdentificationType
intel,IdentityAssociationAugmentationType,A data type for additional information about an association relating a set of identities belonging to the same actual person to each other.,CCC,,,FALSE,FALSE,TRUE,,,,intel:IdentityAssociationAugmentationType
nc,IdentityType,A data type for a set of known aspects or characteristics by which a person is defined or recognized.,CCC,,,FALSE,FALSE,FALSE,,,,nc:IdentityType
ncic,IDTCodeSimpleType,A data type for Identity Theft Type.,S,ncic:IDTCodeType,,FALSE,FALSE,FALSE,,,,ncic:IDTCodeSimpleType
ncic,IDTCodeType,A data type for Identity Theft Type.,CSC,,,FALSE,FALSE,FALSE,,,,ncic:IDTCodeType
ncic,IFSCodeSimpleType,A data type for Identification for Firearm Sales.,S,ncic:IFSCodeType,,FALSE,FALSE,FALSE,,,,ncic:IFSCodeSimpleType
ncic,IFSCodeType,A data type for Identification for Firearm Sales.,CSC,,,FALSE,FALSE,FALSE,,,,ncic:IFSCodeType
biom,ImageAugmentationType,A data type that supplements Image and specifies the additional Screening Image Information,CCC,,,FALSE,FALSE,TRUE,,,,biom:ImageAugmentationType
j,ImageAugmentationType,A data type for additional information about an image.,CCC,,,FALSE,FALSE,TRUE,,,,j:ImageAugmentationType
biom,ImageCaptureAugmentationType,A data type that supplements Image Capture and specifies the additional Screening Image Capture Information,CCC,,,FALSE,FALSE,TRUE,,,,biom:ImageCaptureAugmentationType
biom,ImageCaptureType,"A data type for a set of information regarding the captured (e.g., scanned) image",CCC,,,FALSE,FALSE,FALSE,,,,biom:ImageCaptureType
biom,ImageCompressionAlgorithmCodeSimpleType,A data type for an image compression algorithm,S,biom:ImageCompressionAlgorithmCodeType,,FALSE,FALSE,FALSE,,,,biom:ImageCompressionAlgorithmCodeSimpleType
biom,ImageCompressionAlgorithmCodeType,A data type for an image compression algorithm,CSC,,,FALSE,FALSE,FALSE,,,,biom:ImageCompressionAlgorithmCodeType
biom,ImageDistortionCategoryCodeSimpleType,A data type for a kind of distortion in an image,S,biom:ImageDistortionCategoryCodeType,,FALSE,FALSE,FALSE,,,,biom:ImageDistortionCategoryCodeSimpleType
biom,ImageDistortionCategoryCodeType,A data type for a kind of distortion in an image,CSC,,,FALSE,FALSE,FALSE,,,,biom:ImageDistortionCategoryCodeType
biom,ImageDistortionMeasurementCodeSimpleType,"A data type for a manner in which distortion in an image was measured, i.e. whether it was estimated or calculated",S,biom:ImageDistortionMeasurementCodeType,,FALSE,FALSE,FALSE,,,,biom:ImageDistortionMeasurementCodeSimpleType
biom,ImageDistortionMeasurementCodeType,"A data type for a manner in which distortion in an image was measured, i.e. whether it was estimated or calculated",CSC,,,FALSE,FALSE,FALSE,,,,biom:ImageDistortionMeasurementCodeType
biom,ImageDistortionSeverityCodeSimpleType,A data type for a severity of distortion in an image,S,biom:ImageDistortionSeverityCodeType,,FALSE,FALSE,FALSE,,,,biom:ImageDistortionSeverityCodeSimpleType
biom,ImageDistortionSeverityCodeType,A data type for a severity of distortion in an image,CSC,,,FALSE,FALSE,FALSE,,,,biom:ImageDistortionSeverityCodeType
biom,ImageDistortionType,A data type for a distortion in an image,CCC,,,FALSE,FALSE,FALSE,,,,biom:ImageDistortionType
scr,ImageFeatureExtractionType,A data type that specifies details of the image extraction,CCC,,,FALSE,FALSE,FALSE,,,,scr:ImageFeatureExtractionType
biom,ImageFeatureVertexQuantitySimpleType,A data type for a number of coordinate points in an image polyline or polygon,S,biom:ImageFeatureVertexQuantityType,,FALSE,FALSE,FALSE,,,,biom:ImageFeatureVertexQuantitySimpleType
biom,ImageFeatureVertexQuantityType,A data type for a number of coordinate points in an image polyline or polygon,CSC,,,FALSE,FALSE,FALSE,,,,biom:ImageFeatureVertexQuantityType
cbrn,ImageFileType,A Data type to capture the Image file Type,CCC,,cbrn:DataFileType,FALSE,FALSE,FALSE,,,,cbrn:ImageFileType
biom,ImageHashValueSimpleType,"A data type for a hash value computed from a binary object, like an image",S,biom:ImageHashValueType,,FALSE,FALSE,FALSE,,,,biom:ImageHashValueSimpleType
biom,ImageHashValueType,"A data type for a hash value computed from a binary object, like an image",CSC,,,FALSE,FALSE,FALSE,,,,biom:ImageHashValueType
biom,ImageOcclusionCategoryCodeSimpleType,A data type for a kind of blockage in an image,S,biom:ImageOcclusionCategoryCodeType,,FALSE,FALSE,FALSE,,,,biom:ImageOcclusionCategoryCodeSimpleType
