PropertyNS,PropertyName,QualifiedType,Definition,SubstitutionGroupQualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,QualifiedProperty
im,DependentCodeDescriptionText,nc:TextType,A field indicating the description for the associated dependent code.,,TRUE,FALSE,,,,im:DependentCodeDescriptionText
im,DependentDistrictOfficerTerminatedF2Indicator,niem-xs:boolean,True if the District Officer terminated the aliens dependent status to an academic student (F-2); false otherwise.,,TRUE,FALSE,,,,im:DependentDistrictOfficerTerminatedF2Indicator
im,DependentDistrictOfficerTerminatedM2Indicator,niem-xs:boolean,True if the District Officer terminated the aliens dependent status to a vocational student (M-2); false otherwise.,,TRUE,FALSE,,,,im:DependentDistrictOfficerTerminatedM2Indicator
im,DependentExpensesEstimatedAmount,nc:AmountType,A number indicating the total expenses for all alien students dependents during the term.,,TRUE,FALSE,,,,im:DependentExpensesEstimatedAmount
im,DependentJ2CompletionIndicator,niem-xs:boolean,True if an aliens dependent status to an exchange visitor (J-2) completed with no adversity; false otherwise.,,TRUE,FALSE,,,,im:DependentJ2CompletionIndicator
im,DependentJ2TerminationIndicator,niem-xs:boolean,True if an exchange visitors dependent status to an exchange visitor (J-2) was terminated; false otherwise.,,TRUE,FALSE,,,,im:DependentJ2TerminationIndicator
im,DependentPrincipalDesignatedSchoolOfficialTerminatedF2Indicator,niem-xs:boolean,True if the Principal Designated School Official (PDSO) or Designated School Official (DSO) terminated the dependent status of an alien to an academic student (F-2); false otherwise.,,TRUE,FALSE,,,,im:DependentPrincipalDesignatedSchoolOfficialTerminatedF2Indicator
im,DependentPrincipalDesignatedSchoolOfficialTerminatedM2Indicator,niem-xs:boolean,True if a Principal Designated School Official (PDSO) or Designated School Official (DSO) terminated the aliens dependent status (M-2) to a vocational student; false otherwise.,,TRUE,FALSE,,,,im:DependentPrincipalDesignatedSchoolOfficialTerminatedM2Indicator
im,DependentProgramEndDate,nc:DateType,A date on which the alien dependent's principal program ends.,,TRUE,FALSE,,,,im:DependentProgramEndDate
im,DependentRemarkText,nc:TextType,A field describing the dependent of an alien student or exchange visitor.,,TRUE,FALSE,,,,im:DependentRemarkText
im,DependentTerminationCode,im:DependentTerminationCodeType,A reason why a dependent of an alien student or exchange visitor may be terminated.,,TRUE,FALSE,,"01=Conviction of a crime, 02=Death, 03=child over 21",,im:DependentTerminationCode
im,DependentTerminationCommentText,nc:TextType,A field detailing why an aliens dependent status was terminated.,,TRUE,FALSE,,,,im:DependentTerminationCommentText
im,DependentTerminationDescriptionText,nc:TextType,A field indicating the description for the associated alien dependents termination code.,,TRUE,FALSE,,,,im:DependentTerminationDescriptionText
scr,DeportAsArrivedIndicator,niem-xs:boolean,True if the subject was ordered to be deported using the vessel or aircraft on which the subject entered the U.S.; false otherwise.,,TRUE,FALSE,,,,scr:DeportAsArrivedIndicator
scr,Deportation,scr:AlienDeportationType,An involuntary DEPARTURE of a PERSON based on a judicial decision or inspectors discretion.,,TRUE,FALSE,,,,scr:Deportation
im,DeportationCompleteIndicator,niem-xs:boolean,True if the deportation has been completed; false otherwise,,TRUE,FALSE,,,,im:DeportationCompleteIndicator
scr,DeportationDepartProof,im:ImmigrationDeportationType,A detail defining Evidence of removal of an alien from the United States.,,TRUE,FALSE,,,,scr:DeportationDepartProof
im,DeportationInProgressIndicator,niem-xs:boolean,True if the deportation is in progress; false otherwise,,TRUE,FALSE,,,,im:DeportationInProgressIndicator
im,DeportationLocation,nc:LocationType,A location from which the alien was deported.,,TRUE,FALSE,,,,im:DeportationLocation
im,DeportationOrderLocationText,nc:TextType,A field indicating the location from which the inadmissible alien is removed from the United States.,,TRUE,FALSE,,,,im:DeportationOrderLocationText
im,DeportationReliefDate,nc:DateType,A date on which the alien receives relief from deportation.,,TRUE,FALSE,,,,im:DeportationReliefDate
j,Deportee,j:DeporteeType,A person who is expelled from country by a governmental authority.,,TRUE,FALSE,,,,j:Deportee
j,DeporteeAugmentationPoint,,An augmentation point for j:DeporteeType.,,TRUE,TRUE,,,,j:DeporteeAugmentationPoint
j,DeporteeDeportationSupervisingAgencyAssociation,j:DeporteeDeportationSupervisingAgencyAssociationType,A relationship between a deportee and an agency that supervised their deportation.,,TRUE,FALSE,,,,j:DeporteeDeportationSupervisingAgencyAssociation
j,DeporteeDeportationSupervisingAgencyAssociationAugmentationPoint,,An augmentation point for DeporteeDeportationSupervisingAgencyAssociationType.,,TRUE,TRUE,,,,j:DeporteeDeportationSupervisingAgencyAssociationAugmentationPoint
j,DeporteeDestinationLocationAssociation,j:DeporteeDestinationLocationAssociationType,A relationship between a deportee and a destination location to which they were deported.,,TRUE,FALSE,,,,j:DeporteeDestinationLocationAssociation
j,DeporteeDestinationLocationAssociationAugmentationPoint,,An augmentation point for DeporteeDestinationLocationAssociationType.,,TRUE,TRUE,,,,j:DeporteeDestinationLocationAssociationAugmentationPoint
j,DeporteeOffenseAssociation,j:DeporteeOffenseAssociationType,A relationship between a deportee and an offense for which they were deported.,,TRUE,FALSE,,,,j:DeporteeOffenseAssociation
j,DeporteeOffenseAssociationAugmentationPoint,,An augmentation point for DeporteeOffenseAssociationType.,,TRUE,TRUE,,,,j:DeporteeOffenseAssociationAugmentationPoint
cbrn,DerivedData,cbrn:DerivedDataType,The set of all data derived from raw measured data for use in analysis.,cbrn:RadInstrumentDataChoice,TRUE,FALSE,,,,cbrn:DerivedData
cbrn,DerivedDataAugmentationPoint,,An augmentation point for cbrn:DerivedDataType.,,TRUE,TRUE,,,,cbrn:DerivedDataAugmentationPoint
cbrn,DerivedDataExtension,,A data concept for enabling extension via additional schema(s).,,TRUE,TRUE,,,,cbrn:DerivedDataExtension
scr,DerogatoryCategoryDescriptionText,nc:TextType,A description of the values used for a kind of derogatory information.,,TRUE,FALSE,,,,scr:DerogatoryCategoryDescriptionText
scr,DerogatoryInformationExpirationDate,nc:DateType,An expiration date of derogatory information for a Person,,TRUE,FALSE,,,,scr:DerogatoryInformationExpirationDate
scr,DerogatoryInformationIdentification,nc:IdentificationType,An identification that represents the PERSON DEROGATORY INFORMATION,,TRUE,FALSE,,,,scr:DerogatoryInformationIdentification
scr,DerogatoryStatus,,A data concept for a status of biometrically linked encounters at which the owning organization perceives the derogatory information.,,TRUE,TRUE,,,,scr:DerogatoryStatus
scr,DerogatoryStatusCode,scr:RiskCategoryCodeType,A status of biometrically linked encounters at which the owning organization perceives the derogatory information.,scr:DerogatoryStatus,TRUE,FALSE,,,,scr:DerogatoryStatusCode
im,DetentionDetainerLiftAugmentationPoint,,An augmentation point for DetentionDetainerLiftType.,,TRUE,TRUE,,,,im:DetentionDetainerLiftAugmentationPoint
im,DetentionDetainerLiftCode,im:DetentionDetainerLiftCodeType,A reason under which a DETENTION or a DETAINER can be lifted.,,TRUE,FALSE,,"D=Died, C=Case Closed, S=Lifted-Lack of Space, T=Transferred",,im:DetentionDetainerLiftCode
im,DetentionDetainerLiftDescriptionText,nc:TextType,A field indicating the description for the associated DETAINER LIFT CODE.,,TRUE,FALSE,,,,im:DetentionDetainerLiftDescriptionText
j,DetentionFacility,nc:FacilityType,A facility that carries out the confinement of a subject charged or convicted of a crime.,,TRUE,FALSE,,,,j:DetentionFacility
im,DetentionReleaseReasonAugmentationPoint,,An augmentation point for DetentionReleaseReasonType.,,TRUE,TRUE,,,,im:DetentionReleaseReasonAugmentationPoint
cyfs,DevelopmentalDisabilityCategory,,A data concept for describing developmental disabilities.,,TRUE,TRUE,,,,cyfs:DevelopmentalDisabilityCategory
cyfs,DevelopmentalDisabilityCategoryCode,cyfs:DevelopmentalDisabilityCodeType,A code list that describes a person's developmental disabilities,cyfs:DevelopmentalDisabilityCategory,TRUE,FALSE,,,,cyfs:DevelopmentalDisabilityCategoryCode
cyfs,DevelopmentalDisabilityCategoryText,nc:TextType,A kind of developmental disability.,cyfs:DevelopmentalDisabilityCategory,TRUE,FALSE,,,,cyfs:DevelopmentalDisabilityCategoryText
scr,Device,scr:EncounterDeviceType,An identifier that represents an ENCOUNTER DEVICE.,,TRUE,FALSE,,,,scr:Device
nc,DeviceAugmentationPoint,,An augmentation point for nc:DeviceType.,,TRUE,TRUE,,,,nc:DeviceAugmentationPoint
scr,DeviceBasedEncounterAssociation,scr:DeviceBasedEncounterAssociationType,"An association between a person, DHS encounter device, and the person encounter.",,TRUE,FALSE,,,,scr:DeviceBasedEncounterAssociation
scr,DeviceBasedEncounterAssociationAugmentationPoint,,An augmentation point for DeviceBasedEncounterAssociationType.,,TRUE,TRUE,,,,scr:DeviceBasedEncounterAssociationAugmentationPoint
nc,DeviceCategory,,A data concept for a kind of communication device.,,TRUE,TRUE,,,,nc:DeviceCategory
j,DeviceCategoryCode,ndex:DeviceCategoryCodeType,A kind of communication device.,nc:DeviceCategory,TRUE,FALSE,,,,j:DeviceCategoryCode
nc,DeviceCategoryText,nc:TextType,A kind of communication device.,nc:DeviceCategory,TRUE,FALSE,,,,nc:DeviceCategoryText
nc,DeviceElectronicAddress,nc:ElectronicAddressType,An Internet Protocol (IP) address or Uniform Resource Locator (URL) of a device that uniquely identifies a specific site on the Internet or another network.,,TRUE,FALSE,,,,nc:DeviceElectronicAddress
nc,DeviceESNIdentification,nc:IdentificationType,An identification number of a device specified as an electronic serial number assigned to every GSM and UMTS cellular phone by the specific manufacturer.,,TRUE,FALSE,,,,nc:DeviceESNIdentification
cbrn,DeviceIdentifierAugmentationPoint,,An augmentation point for cbrn:DeviceIdentifierType.,,TRUE,TRUE,,,,cbrn:DeviceIdentifierAugmentationPoint
nc,DeviceIMEIIdentification,nc:IdentificationType,An identification number of a device specified as an International Mobile Equipment Identity assigned to every mobile phone by the manufacturer.,,TRUE,FALSE,,,,nc:DeviceIMEIIdentification
nc,DeviceIncomingTelephoneNumber,nc:TelephoneNumberType,A telephone number of an incoming call.,nc:DeviceReceivedInformation,TRUE,FALSE,,,,nc:DeviceIncomingTelephoneNumber
nc,DeviceIncomingTextMessage,nc:MessageType,A text message received by a device.,nc:DeviceReceivedInformation,TRUE,FALSE,,,,nc:DeviceIncomingTextMessage
cbrn,DeviceInfoDateTime,niem-xs:dateTime,A DateTime of the device identifier data.,,TRUE,FALSE,,,,cbrn:DeviceInfoDateTime
nc,DeviceInformationAssociation,nc:DeviceInformationAssociationType,"An association between a device and a message, website, binary, or other kind of information.",,TRUE,FALSE,,,,nc:DeviceInformationAssociation
nc,DeviceInformationAssociationAugmentationPoint,,An augmentation point for nc:DeviceInformationAssociationType.,,TRUE,TRUE,,,,nc:DeviceInformationAssociationAugmentationPoint
cbrn,DeviceOperatorCommentsText,niem-xs:string,A user-operator entered comment.,,TRUE,FALSE,,,,cbrn:DeviceOperatorCommentsText
cbrn,DeviceOperatorID,niem-xs:string,A unique identifier of the encounter device operator.  There is no required format for the ID value.,,TRUE,FALSE,,,,cbrn:DeviceOperatorID
nc,DeviceOutgoingTelephoneNumber,nc:TelephoneNumberType,A telephone number that was dialed by a device.,nc:DeviceSentInformation,TRUE,FALSE,,,,nc:DeviceOutgoingTelephoneNumber
nc,DeviceOutgoingTextMessage,nc:MessageType,A text message sent by a device.,nc:DeviceSentInformation,TRUE,FALSE,,,,nc:DeviceOutgoingTextMessage
nc,DeviceReceivedEmail,nc:MessageType,An email message received by a device.,nc:DeviceReceivedInformation,TRUE,FALSE,,,,nc:DeviceReceivedEmail
nc,DeviceReceivedInformation,,"A data concept for a call, message, file, communication, or other kind of information received by a device.",,TRUE,TRUE,,,,nc:DeviceReceivedInformation
nc,DeviceSentEmail,nc:MessageType,An email message sent from a device.,nc:DeviceSentInformation,TRUE,FALSE,,,,nc:DeviceSentEmail
nc,DeviceSentInformation,,"A data concept for a call, message, file, communication, or other kind of information sent from a device.",,TRUE,TRUE,,,,nc:DeviceSentInformation
nc,DeviceStoredAudioBinary,nc:BinaryType,An audio file stored on a device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredAudioBinary
nc,DeviceStoredBinary,nc:BinaryType,A binary file stored on a device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredBinary
nc,DeviceStoredContactInformation,nc:ContactInformationType,A piece of contact information stored on a device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredContactInformation
nc,DeviceStoredDocument,nc:DocumentType,A document stored on a device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredDocument
nc,DeviceStoredImage,nc:ImageType,An image stored on a device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredImage
nc,DeviceStoredInformation,,"A data concept for a call, message, file, communication, or other kind of information stored on a device.",,TRUE,TRUE,,,,nc:DeviceStoredInformation
nc,DeviceStoredTelephoneNumber,nc:TelephoneNumberType,A telephone number stored in memory on a device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredTelephoneNumber
nc,DeviceStoredText,nc:TextType,A set of text that was stored on or associated with the  device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredText
nc,DeviceStoredVideoBinary,nc:BinaryType,A video file stored on a device.,nc:DeviceStoredInformation,TRUE,FALSE,,,,nc:DeviceStoredVideoBinary
nc,DeviceUser,nc:PersonType,A person who uses a device.,,TRUE,FALSE,,,,nc:DeviceUser
nc,DeviceVisitedInformation,,A data concept for a website or other kind of information visited or accessed by a device.,,TRUE,TRUE,,,,nc:DeviceVisitedInformation
nc,DeviceVisitedWebsiteURI,niem-xs:anyURI,A website visited by a device.,nc:DeviceVisitedInformation,TRUE,FALSE,,,,nc:DeviceVisitedWebsiteURI
nc,DirectDialTelephoneNetworkText,nc:TextType,A network on which a shortened telephone number may be used.,,TRUE,FALSE,,,,nc:DirectDialTelephoneNetworkText
nc,DirectDialTelephoneNumber,nc:DirectDialTelephoneNumberType,"A telephone number consisting of a shortened sequence of numbers that can be used within a local telephone system, such as a particular network or a corporate phone system.",nc:TelephoneNumberRepresentation,TRUE,FALSE,,,,nc:DirectDialTelephoneNumber
nc,DirectDialTelephoneNumberAugmentationPoint,,An augmentation point for DirectDialTelephoneNumberType.,,TRUE,TRUE,,,,nc:DirectDialTelephoneNumberAugmentationPoint
nc,DirectDialTelephoneNumberID,niem-xs:string,A shortened sequence of numbers that can be used in place of a full telephone number within a local calling system such as a particular network or corporate phone system.,,TRUE,FALSE,,,,nc:DirectDialTelephoneNumberID
nc,DirectionDatumCode,nga:DirectionDatumCodeType,"A reference direction as determined by the means by which it is established (e.g., by the direction of a geographic or magnetic pole of the Earth).",,TRUE,FALSE,,,,nc:DirectionDatumCode
im,DisabilityAccommodationIndicator,niem-xs:boolean,True if the Applicant has a physical impairment; false otherwise,,TRUE,FALSE,,,,im:DisabilityAccommodationIndicator
im,DisabilityAccommodationText,nc:TextType,A requested physical accommodation for a disabled person.,,TRUE,FALSE,,,,im:DisabilityAccommodationText
im,DisabilityImpairmentIndicator,niem-xs:boolean,True if the Applicant or Beneficiary has a disability; false otherwise,,TRUE,FALSE,,,,im:DisabilityImpairmentIndicator
nc,DisciplinaryAction,nc:DisciplinaryActionType,"An activity assigned to a person for the purpose of self-improvement, punishment, or restitution.",,TRUE,FALSE,,,,nc:DisciplinaryAction
nc,DisciplinaryActionAssigner,nc:EntityType,An entity which assigns a disciplinary action to a person.,,TRUE,FALSE,,,,nc:DisciplinaryActionAssigner
j,DisciplinaryActionAugmentation,j:DisciplinaryActionAugmentationType,Additional information about a disciplinary action.,nc:DisciplinaryActionAugmentationPoint,TRUE,FALSE,,,,j:DisciplinaryActionAugmentation
nc,DisciplinaryActionAugmentationPoint,,An augmentation point for DisciplinaryActionType.,,TRUE,TRUE,,,,nc:DisciplinaryActionAugmentationPoint
nc,DisciplinaryActionCommunityService,nc:ActivityType,A recommendation or requirement for a person to perform community service as a disciplinary action.,,TRUE,FALSE,,,,nc:DisciplinaryActionCommunityService
nc,DisciplinaryActionCounseling,nc:ActivityType,A recommendation or requirement for a person to attend counseling as a disciplinary action.,,TRUE,FALSE,,,,nc:DisciplinaryActionCounseling
nc,DisciplinaryActionEnforcer,nc:EntityType,An entity responsible for ensuring a person performs the assigned disciplinary action.,,TRUE,FALSE,,,,nc:DisciplinaryActionEnforcer
j,DisciplinaryActionFacility,nc:FacilityType,A facility to which a person is assigned for a disciplinary action.,,TRUE,FALSE,,,,j:DisciplinaryActionFacility
nc,DisciplinaryActionFee,nc:ObligationType,A monetary fine assigned to a person as a disciplinary action.,,TRUE,FALSE,,,,nc:DisciplinaryActionFee
im,DisciplinaryActionIdentification,nc:IdentificationType,An identification of a disciplinary action against an alien student.,,TRUE,FALSE,,,,im:DisciplinaryActionIdentification
im,DisciplinaryActionIndicator,niem-xs:boolean,True if a disciplinary action against an alien student occurred; false otherwise.,,TRUE,FALSE,,,,im:DisciplinaryActionIndicator
nc,DisciplinaryActionPerson,nc:PersonType,A person to whom a disciplinary action is assigned.,,TRUE,FALSE,,,,nc:DisciplinaryActionPerson
nc,DisciplinaryActionProgram,nc:ProgramType,A recommendation or requirement for a person to attend a program as a disciplinary action.,,TRUE,FALSE,,,,nc:DisciplinaryActionProgram
nc,DisciplinaryActionRestitution,nc:ObligationType,A requirement for a person to financially or otherwise compensate another person as  a disciplinary action.,,TRUE,FALSE,,,,nc:DisciplinaryActionRestitution
j,DisciplinaryActionSanction,j:SanctionType,A sanction resulting from a hearing.,,TRUE,FALSE,,,,j:DisciplinaryActionSanction
j,DisciplinaryHearing,j:DisciplinaryHearingType,"A fact finding hearing to determine whether a prohibited act was committed and, if so, the appropriate sanctions to be imposed.",,TRUE,FALSE,,,,j:DisciplinaryHearing
j,DisciplinaryHearingAugmentationPoint,,An augmentation point for DisciplinaryHearingType.,,TRUE,TRUE,,,,j:DisciplinaryHearingAugmentationPoint
j,DisciplinaryIncident,nc:IncidentType,A commission or alleged commission of a prohibited act involving a subject and occurring while in custody and/or during a period of incarceration/holding.,,TRUE,FALSE,,,,j:DisciplinaryIncident
j,DiscoloredFingerPosition,,A data concept for a finger position code for a finger that is discolored.,,TRUE,TRUE,,,,j:DiscoloredFingerPosition
j,DiscoloredFingerPositionText,nc:TextType,A finger position code for a finger that is discolored.,j:DiscoloredFingerPosition,TRUE,FALSE,,,,j:DiscoloredFingerPositionText
cyfs,Dispenser,nc:EntityType,A pharmacy or pharmacist who filled the prescription.,,TRUE,FALSE,,,,cyfs:Dispenser
nc,Disposition,nc:DispositionType,"A result or outcome that is the product of handling, processing, or finalizing something.",,TRUE,FALSE,,,,nc:Disposition
cyfs,DispositionAugmentation,cyfs:DispositionAugmentationType,Additional information about a disposition.,nc:DispositionAugmentationPoint,TRUE,FALSE,,,,cyfs:DispositionAugmentation
nc,DispositionAugmentationPoint,,An augmentation point for DispositionType.,,TRUE,TRUE,,,,nc:DispositionAugmentationPoint
nc,DispositionCategory,,A data concept for a kind of disposition.,,TRUE,TRUE,,,,nc:DispositionCategory
j,DispositionCategoryCodeText,nc:TextType,A kind of disposition.,nc:DispositionCategory,TRUE,FALSE,,,,j:DispositionCategoryCodeText
nc,DispositionCategoryText,nc:TextType,A kind of disposition.,nc:DispositionCategory,TRUE,FALSE,,,,nc:DispositionCategoryText
nc,DispositionDate,nc:DateType,A date a disposition occurred.,,TRUE,FALSE,,,,nc:DispositionDate
nc,DispositionDescriptionText,nc:TextType,A description of a disposition.,,TRUE,FALSE,,,,nc:DispositionDescriptionText
nc,DispositionEntity,nc:EntityType,An agency responsible for making a disposition decision.,,TRUE,FALSE,,,,nc:DispositionEntity
nc,DispositionInstrument,nc:DocumentType,An official document filed to formally document the disposition of a specific charge.,,TRUE,FALSE,,,,nc:DispositionInstrument
nc,DispositionReasonText,nc:TextType,A reason for a disposition.,,TRUE,FALSE,,,,nc:DispositionReasonText
nc,DispositionReportedAuthorityText,nc:TextType,A name of an authority to which a disposition was reported.,,TRUE,FALSE,,,,nc:DispositionReportedAuthorityText
nc,DispositionText,nc:TextType,A result or outcome of a disposition.,,TRUE,FALSE,,,,nc:DispositionText
im,DistanceFromLandmarkMeasure,nc:MeasureType,A number indicating the distance in miles from a landmark to where the alien's ARREST occurred.,,TRUE,FALSE,,,,im:DistanceFromLandmarkMeasure
cbrn,DistanceValue,cbrn:DistanceType,"A scalar distance between the center of an object (i.e., instrument, detector, or item) or nuclide and the center of a reference point (Origin).",,TRUE,FALSE,,,,cbrn:DistanceValue
edxl-de,DistributionElementAdapter,edxl-de:DistributionElementAdapterType,A standard message distribution framework for data sharing among emergency information systems using the XML-based Emergency Data Exchange Language (EDXL).,,TRUE,FALSE,,,,edxl-de:DistributionElementAdapter
nc,DistributionText,nc:TextType,A set of allowable recipients of information; dissemination statement or instructions.,,TRUE,FALSE,,,,nc:DistributionText
j,DistrictIdentification,nc:IdentificationType,An identification of a region or locality.,,TRUE,FALSE,,,,j:DistrictIdentification
j,DiversionProgram,nc:ProgramType,A program designed to help a person give up a criminal lifestyle.,,TRUE,FALSE,,,,j:DiversionProgram
j,DNACollectedIndicator,niem-xs:boolean,True if DNA has been collected; false otherwise.,,TRUE,FALSE,,,,j:DNACollectedIndicator
j,DNACollectionStatus,,A data concept for a status on the DNA collection from a subject.,,TRUE,TRUE,,,,j:DNACollectionStatus
j,DNACollectionStatusText,nc:TextType,A status on the DNA collection from a subject.,j:DNACollectionStatus,TRUE,FALSE,,,,j:DNACollectionStatusText
biom,DNAImageAugmentationPoint,,An augmentation point for DNA Image,,TRUE,TRUE,,,,biom:DNAImageAugmentationPoint
biom,DNALocus,biom:DNALocusType,An image of a other biometrics types e.g. DNA etc.,,TRUE,FALSE,,,,biom:DNALocus
biom,DNALocusAugmentationPoint,,An augmentation point for DNA Locus,,TRUE,TRUE,,,,biom:DNALocusAugmentationPoint
biom,DNALocusCategoryText,nc:TextType,A kind of location within a strand of DNA that a value is determined.,,TRUE,FALSE,,,,biom:DNALocusCategoryText
biom,DNALocusValue,nc:TextType,A value string for a DNA locus.,,TRUE,FALSE,,,,biom:DNALocusValue
biom,DNASampleDetail,biom:DNASampleDetailType,A DNA sample detail information,biom:BiometricDetail,TRUE,FALSE,,,,biom:DNASampleDetail
biom,DNASampleDetailAugmentationPoint,,An augmentation point for DNASampleDetailType,,TRUE,TRUE,,,,biom:DNASampleDetailAugmentationPoint
biom,DNASampleImage,biom:DNAImageType,An image of a DNA sample.,biom:BiometricImage,TRUE,FALSE,,,,biom:DNASampleImage
j,DNATest,j:DNATestType,"A test of biologic material administered to identify or describe the contained genetic code, includes materials resulting in non-coding DNA or ""Junk DNA"" results.",,TRUE,FALSE,,,,j:DNATest
j,DNATestAugmentationPoint,,An augmentation point for DNATestType.,,TRUE,TRUE,,,,j:DNATestAugmentationPoint
nc,Document,nc:DocumentType,A paper or electronic document.,,TRUE,FALSE,,,,nc:Document
nc,DocumentAlternativeTitleText,nc:TextType,A title used as a substitute or alternative to the formal title of a document.,,TRUE,FALSE,,,,nc:DocumentAlternativeTitleText
nc,DocumentApprovedIndicator,niem-xs:boolean,True if a document has been approved; false otherwise.,,TRUE,FALSE,,,,nc:DocumentApprovedIndicator
nc,DocumentAssociation,nc:DocumentAssociationType,An association between documents.,,TRUE,FALSE,,,,nc:DocumentAssociation
nc,DocumentAssociationAugmentationPoint,,An augmentation point for DocumentAssociationType.,,TRUE,TRUE,,,,nc:DocumentAssociationAugmentationPoint
it,DocumentAugmentation,it:DocumentAugmentationType,Additional information about a document.,nc:DocumentAugmentationPoint,TRUE,FALSE,,,,it:DocumentAugmentation
j,DocumentAugmentation,j:DocumentAugmentationType,Additional information about a document.,nc:DocumentAugmentationPoint,TRUE,FALSE,,,,j:DocumentAugmentation
nc,DocumentAugmentationPoint,,An augmentation point for DocumentType.,,TRUE,TRUE,,,,nc:DocumentAugmentationPoint
it,DocumentAuthenticationText,nc:TextType,An idication or proof that a document has been authenticated indicating where appropriate the authentication party.,,TRUE,FALSE,,,,it:DocumentAuthenticationText
nc,DocumentAuthor,nc:EntityType,An entity primarily responsible for creating the intellectual content of the resource.,,TRUE,FALSE,,,,nc:DocumentAuthor
nc,DocumentBinary,nc:BinaryType,A binary encoding of the content of a document.,,TRUE,FALSE,,,,nc:DocumentBinary
nc,DocumentCategory,,A data concept for a kind of document.,,TRUE,TRUE,,,,nc:DocumentCategory
scr,DocumentCategoryCode,scr:DocumentCategoryCodeType,A kind of document.,nc:DocumentCategory,TRUE,FALSE,,,,scr:DocumentCategoryCode
nc,DocumentCategoryDescriptionText,nc:TextType,A description of a kind of information in a document.,,TRUE,FALSE,,,,nc:DocumentCategoryDescriptionText
nc,DocumentCategoryID,niem-xs:string,An identifier of a kind of information in a document.,nc:DocumentCategory,TRUE,FALSE,,,,nc:DocumentCategoryID
nc,DocumentCategoryName,nc:TextType,A name of a category of information in a document.,nc:DocumentCategory,TRUE,FALSE,,,,nc:DocumentCategoryName
nc,DocumentCategoryText,nc:TextType,A kind of document; a nature or genre of the content.,nc:DocumentCategory,TRUE,FALSE,,,,nc:DocumentCategoryText
nc,DocumentContentListText,nc:TextType,"A list of the chapters, sections, or other divisions of a document.",,TRUE,FALSE,"TOC, table of contents",,,nc:DocumentContentListText
nc,DocumentContributor,nc:EntityType,An entity responsible for making contributions to the content of the resource.,,TRUE,FALSE,,,"This may include a person, organization, or service.",nc:DocumentContributor
nc,DocumentCopyrightIndicator,niem-xs:boolean,True if a document is copyrighted; false otherwise.,,TRUE,FALSE,,,"Copyrighted products cannot be reproduced and/or distributed without the express written permission of the copyright owner. This prohibition is binding on individuals and corporations, as well as the United States government.",nc:DocumentCopyrightIndicator
nc,DocumentCountryCode,,A data concept for a country being discussed in a document.,,TRUE,TRUE,,,,nc:DocumentCountryCode
nc,DocumentCountryFIPS10-4Code,fips_10-4:CountryCodeType,A country being discussed in a document.,nc:DocumentCountryCode,TRUE,FALSE,,,,nc:DocumentCountryFIPS10-4Code
nc,DocumentCountryISO3166Alpha2Code,iso_3166:CountryAlpha2CodeType,A country being discussed in a document.,nc:DocumentCountryCode,TRUE,FALSE,,,,nc:DocumentCountryISO3166Alpha2Code
j,DocumentCourtAssociation,j:DocumentCourtAssociationType,An association between a document and a court.,,TRUE,FALSE,,,,j:DocumentCourtAssociation
j,DocumentCourtAssociationAugmentationPoint,,An augmentation point for DocumentCourtAssociationType.,,TRUE,TRUE,,,,j:DocumentCourtAssociationAugmentationPoint
nc,DocumentCoverage,,A data concept for an extent or scope of the content of the resource.,,TRUE,TRUE,,,,nc:DocumentCoverage
nc,DocumentCoverageAddress,nc:AddressType,An extent or scope of the content of the resource.,nc:DocumentCoverage,TRUE,FALSE,,,,nc:DocumentCoverageAddress
nc,DocumentCoverageDate,nc:DateType,A date relating to an extent or scope of the content of the resource.,nc:DocumentCoverage,TRUE,FALSE,,,,nc:DocumentCoverageDate
nc,DocumentCoverageText,nc:TextType,A description of the extent or scope of the content of the resource.,nc:DocumentCoverage,TRUE,FALSE,,,,nc:DocumentCoverageText
nc,DocumentCreationDate,nc:DateType,A date a document was created.,,TRUE,FALSE,,,,nc:DocumentCreationDate
nc,DocumentDescriptionText,nc:TextType,A description of the content of a document.,,TRUE,FALSE,,,,nc:DocumentDescriptionText
nc,DocumentDispositionAuthorityName,nc:TextType,A name of an authority designated to handle or process information in a document.,,TRUE,FALSE,,,,nc:DocumentDispositionAuthorityName
nc,DocumentDispositionInstructionText,nc:TextType,An instruction on how to handle or process information in a document.,,TRUE,FALSE,,,,nc:DocumentDispositionInstructionText
nc,DocumentDisputedIndicator,niem-xs:boolean,True if the accuracy of a document is disputed; false otherwise.,,TRUE,FALSE,,,,nc:DocumentDisputedIndicator
nc,DocumentDisputedReasonText,nc:TextType,A reason why the accuracy of a document is disputed.,,TRUE,FALSE,,,,nc:DocumentDisputedReasonText
